freq_Hz,ID,id,Observer,Group,EyePosition,Response
0.5,jk 03,f_a1,JK,atoke,posterior,1
1.5,jk 03,f_a1,JK,atoke,posterior,0.608695652
2.5,jk 03,f_a1,JK,atoke,posterior,0.487922705
3.5,jk 03,f_a1,JK,atoke,posterior,0.355072464
4.5,jk 03,f_a1,JK,atoke,posterior,0.239130435
5.5,jk 03,f_a1,JK,atoke,posterior,0.15942029
6.5,jk 03,f_a1,JK,atoke,posterior,0.103864734
7.5,jk 03,f_a1,JK,atoke,posterior,0.065217391
8.5,jk 03,f_a1,JK,atoke,posterior,0.041062802
9.5,jk 03,f_a1,JK,atoke,posterior,0.033816425
0.5,jk4,f_a2,JK,atoke,posterior,0.348314607
1.5,jk4,f_a2,JK,atoke,posterior,0.561797753
2.5,jk4,f_a2,JK,atoke,posterior,1
3.5,jk4,f_a2,JK,atoke,posterior,0.95505618
4.5,jk4,f_a2,JK,atoke,posterior,0.707865169
5.5,jk4,f_a2,JK,atoke,posterior,0.449438202
6.5,jk4,f_a2,JK,atoke,posterior,0.264044944
7.5,jk4,f_a2,JK,atoke,posterior,0.157303371
8.5,jk4,f_a2,JK,atoke,posterior,0.101123596
9.5,jk4,f_a2,JK,atoke,posterior,0.061797753
0.5,danka_01,f_a4,danka,atoke,posterior,0.72972973
1.5,danka_01,f_a4,danka,atoke,posterior,1
2.5,danka_01,f_a4,danka,atoke,posterior,0.756756757
3.5,danka_01,f_a4,danka,atoke,posterior,0.567567568
4.5,danka_01,f_a4,danka,atoke,posterior,0.351351351
5.5,danka_01,f_a4,danka,atoke,posterior,0.27027027
6.5,danka_01,f_a4,danka,atoke,posterior,0.162162162
7.5,danka_01,f_a4,danka,atoke,posterior,0.108108108
8.5,danka_01,f_a4,danka,atoke,posterior,0.075675676
9.5,danka_01,f_a4,danka,atoke,posterior,0.048648649
10.5,danka_01,f_a4,danka,atoke,posterior,0.02972973
11.5,danka_01,f_a4,danka,atoke,posterior,NA
0.5,jjb3,f_a5,JJB,atoke,posterior,1
1.5,jjb3,f_a5,JJB,atoke,posterior,0.327075673
2.5,jjb3,f_a5,JJB,atoke,posterior,0.209792917
3.5,jjb3,f_a5,JJB,atoke,posterior,0.107025353
4.5,jjb3,f_a5,JJB,atoke,posterior,0.059996129
5.5,jjb3,f_a5,JJB,atoke,posterior,0.035029998
6.5,jjb3,f_a5,JJB,atoke,posterior,0.029030385
7.5,jjb3,f_a5,JJB,atoke,posterior,0.0150958
8.5,jjb3,f_a5,JJB,atoke,posterior,0.017224695
9.5,jjb3,f_a5,JJB,atoke,posterior,0.0075479
10.5,jjb3,f_a5,JJB,atoke,posterior,0.01180569
11.5,jjb3,f_a5,JJB,atoke,posterior,0.009483259
0.5,jjb08,f_a6,JJB,atoke,posterior,1
1.5,jjb08,f_a6,JJB,atoke,posterior,0.410292072
2.5,jjb08,f_a6,JJB,atoke,posterior,0.306675939
3.5,jjb08,f_a6,JJB,atoke,posterior,0.162494205
4.5,jjb08,f_a6,JJB,atoke,posterior,0.133055169
5.5,jjb08,f_a6,JJB,atoke,posterior,0.075336115
6.5,jjb08,f_a6,JJB,atoke,posterior,0.046128883
7.5,jjb08,f_a6,JJB,atoke,posterior,0.038479369
8.5,jjb08,f_a6,JJB,atoke,posterior,0.030598053
9.5,jjb08,f_a6,JJB,atoke,posterior,0.014140009
10.5,jjb08,f_a6,JJB,atoke,posterior,0.018080668
11.5,jjb08,f_a6,JJB,atoke,posterior,0.015762633
0.5,jjb09,f_a7,JJB,atoke,posterior,1
1.5,jjb09,f_a7,JJB,atoke,posterior,0.542617047
2.5,jjb09,f_a7,JJB,atoke,posterior,0.357743097
