logI,ID,id,Recorder,Group,EyePosition,Response
2.4,jjb03,v_a1,JJB,atoke,posterior,0.887096774
1.7,jjb03,v_a1,JJB,atoke,posterior,0.919354839
1.4,jjb03,v_a1,JJB,atoke,posterior,1
0.7,jjb03,v_a1,JJB,atoke,posterior,0.790322581
0.4,jjb03,v_a1,JJB,atoke,posterior,0.919354839
-0.3,jjb03,v_a1,JJB,atoke,posterior,0.193548387
-0.6,jjb03,v_a1,JJB,atoke,posterior,0.137096774
-1.3,jjb03,v_a1,JJB,atoke,posterior,0.096774194
-1.6,jjb03,v_a1,JJB,atoke,posterior,0
-2.3,jjb03,v_a1,JJB,atoke,posterior,0
-2.6,jjb03,v_a1,JJB,atoke,posterior,0
-3.3,jjb03,v_a1,JJB,atoke,posterior,0
-3.6,jjb03,v_a1,JJB,atoke,posterior,0
-4.3,jjb03,v_a1,JJB,atoke,posterior,0
2.4,jjb 05,v_a2,JJB,atoke,posterior,0.910447761
1.7,jjb 05,v_a2,JJB,atoke,posterior,0.985074627
1.4,jjb 05,v_a2,JJB,atoke,posterior,1
0.7,jjb 05,v_a2,JJB,atoke,posterior,0.970149254
0.4,jjb 05,v_a2,JJB,atoke,posterior,0.910447761
-0.3,jjb 05,v_a2,JJB,atoke,posterior,0.731343284
-0.6,jjb 05,v_a2,JJB,atoke,posterior,0.537313433
-1.3,jjb 05,v_a2,JJB,atoke,posterior,0.298507463
-1.6,jjb 05,v_a2,JJB,atoke,posterior,0.23880597
-2.3,jjb 05,v_a2,JJB,atoke,posterior,0.082089552
-2.6,jjb 05,v_a2,JJB,atoke,posterior,0.037313433
-3.3,jjb 05,v_a2,JJB,atoke,posterior,0
-3.6,jjb 05,v_a2,JJB,atoke,posterior,0
-4.3,jjb 05,v_a2,JJB,atoke,posterior,0
2.4,jjb 07,v_a3,JJB,atoke,posterior,1
1.7,jjb 07,v_a3,JJB,atoke,posterior,0.911764706
1.4,jjb 07,v_a3,JJB,atoke,posterior,0.838235294
0.7,jjb 07,v_a3,JJB,atoke,posterior,0.617647059
0.4,jjb 07,v_a3,JJB,atoke,posterior,0.558823529
-0.3,jjb 07,v_a3,JJB,atoke,posterior,0.382352941
-0.6,jjb 07,v_a3,JJB,atoke,posterior,0.235294118
-1.3,jjb 07,v_a3,JJB,atoke,posterior,0.176470588
-1.6,jjb 07,v_a3,JJB,atoke,posterior,0.161764706
-2.3,jjb 07,v_a3,JJB,atoke,posterior,0.058823529
-2.6,jjb 07,v_a3,JJB,atoke,posterior,0
-3.3,jjb 07,v_a3,JJB,atoke,posterior,0
-3.6,jjb 07,v_a3,JJB,atoke,posterior,0
-4.3,jjb 07,v_a3,JJB,atoke,posterior,0
2.4,jjb 08,v_a4,JJB,atoke,posterior,0.575471698
1.7,jjb 08,v_a4,JJB,atoke,posterior,0.679245283
1.4,jjb 08,v_a4,JJB,atoke,posterior,0.773584906
0.7,jjb 08,v_a4,JJB,atoke,posterior,0.905660377
0.4,jjb 08,v_a4,JJB,atoke,posterior,1
-0.3,jjb 08,v_a4,JJB,atoke,posterior,0.811320755
-0.6,jjb 08,v_a4,JJB,atoke,posterior,0.537735849
-1.3,jjb 08,v_a4,JJB,atoke,posterior,0.283018868
-1.6,jjb 08,v_a4,JJB,atoke,posterior,0.245283019
-2.3,jjb 08,v_a4,JJB,atoke,posterior,0.245283019
-2.6,jjb 08,v_a4,JJB,atoke,posterior,0.056603774
-3.3,jjb 08,v_a4,JJB,atoke,posterior,0
-3.6,jjb 08,v_a4,JJB,atoke,posterior,0
-4.3,jjb 08,v_a4,JJB,atoke,posterior,0
2.4,jjb 09,v_a5,JJB,atoke,posterior,0.76056338
1.7,jjb 09,v_a5,JJB,atoke,posterior,0.845070423
1.4,jjb 09,v_a5,JJB,atoke,posterior,0.901408451
0.7,jjb 09,v_a5,JJB,atoke,posterior,0.943661972
0.4,jjb 09,v_a5,JJB,atoke,posterior,1
-0.3,jjb 09,v_a5,JJB,atoke,posterior,0.85915493
-0.6,jjb 09,v_a5,JJB,atoke,posterior,0.676056338
-1.3,jjb 09,v_a5,JJB,atoke,posterior,0.352112676
-1.6,jjb 09,v_a5,JJB,atoke,posterior,0.288732394
-2.3,jjb 09,v_a5,JJB,atoke,posterior,0.112676056
-2.6,jjb 09,v_a5,JJB,atoke,posterior,0
-3.3,jjb 09,v_a5,JJB,atoke,posterior,0
-3.6,jjb 09,v_a5,JJB,atoke,posterior,0
-4.3,jjb 09,v_a5,JJB,atoke,posterior,0
2.4,jjb 10,v_a6,JJB,atoke,posterior,1
1.7,jjb 10,v_a6,JJB,atoke,posterior,0.961538462
1.4,jjb 10,v_a6,JJB,atoke,posterior,0.942307692
0.7,jjb 10,v_a6,JJB,atoke,posterior,0.730769231
0.4,jjb 10,v_a6,JJB,atoke,posterior,0.5
-0.3,jjb 10,v_a6,JJB,atoke,posterior,0.221153846
-0.6,jjb 10,v_a6,JJB,atoke,posterior,0.173076923
-1.3,jjb 10,v_a6,JJB,atoke,posterior,0.105769231
-1.6,jjb 10,v_a6,JJB,atoke,posterior,0.076923077
-2.3,jjb 10,v_a6,JJB,atoke,posterior,0
-2.6,jjb 10,v_a6,JJB,atoke,posterior,0
-3.3,jjb 10,v_a6,JJB,atoke,posterior,0
-3.6,jjb 10,v_a6,JJB,atoke,posterior,0
-4.3,jjb 10,v_a6,JJB,atoke,posterior,0
2.4,ag 01,v_a7,AG,atoke,posterior,1
1.7,ag 01,v_a7,AG,atoke,posterior,1
1.4,ag 01,v_a7,AG,atoke,posterior,0.976744186
0.7,ag 01,v_a7,AG,atoke,posterior,0.651162791
0.4,ag 01,v_a7,AG,atoke,posterior,0.395348837
-0.3,ag 01,v_a7,AG,atoke,posterior,0.209302326
-0.6,ag 01,v_a7,AG,atoke,posterior,0.162790698
-1.3,ag 01,v_a7,AG,atoke,posterior,0.139534884
-1.6,ag 01,v_a7,AG,atoke,posterior,0.104651163
-2.3,ag 01,v_a7,AG,atoke,posterior,0.058139535
-2.6,ag 01,v_a7,AG,atoke,posterior,0.034883721
-3.3,ag 01,v_a7,AG,atoke,posterior,0
-3.6,ag 01,v_a7,AG,atoke,posterior,0
-4.3,ag 01,v_a7,AG,atoke,posterior,0
2.4,JK 4,v_a8,JK,atoke,posterior,0.842857143
1.7,JK 4,v_a8,JK,atoke,posterior,0.892857143
1.4,JK 4,v_a8,JK,atoke,posterior,0.892857143
0.7,JK 4,v_a8,JK,atoke,posterior,0.964285714
0.4,JK 4,v_a8,JK,atoke,posterior,1
-0.3,JK 4,v_a8,JK,atoke,posterior,0.914285714
-0.6,JK 4,v_a8,JK,atoke,posterior,0.75
-1.3,JK 4,v_a8,JK,atoke,posterior,0.414285714
-1.6,JK 4,v_a8,JK,atoke,posterior,0.364285714
-2.3,JK 4,v_a8,JK,atoke,posterior,0.157142857
-2.6,JK 4,v_a8,JK,atoke,posterior,0.078571429
-3.3,JK 4,v_a8,JK,atoke,posterior,0.05
-3.6,JK 4,v_a8,JK,atoke,posterior,0.021428571
-4.3,JK 4,v_a8,JK,atoke,posterior,0
2.4,jk5,v_a8,JK,atoke,posterior,0.86407767
1.7,jk5,v_a8,JK,atoke,posterior,0.941747573
1.4,jk5,v_a8,JK,atoke,posterior,1
0.7,jk5,v_a8,JK,atoke,posterior,0.990291262
0.4,jk5,v_a8,JK,atoke,posterior,0.941747573
-0.3,jk5,v_a8,JK,atoke,posterior,0.805825243
