structure,group,id,date,side,time,area,perimeter,major,minor,feret,minFeret
pupil,atoke,atoke1,,only,0,1514,151.037,48.458,39.78,49.468,40.05
pupil,atoke,atoke1,,only,5,1163,143.788,54.204,27.318,53.012,26.868
pupil,atoke,atoke1,,only,10,1494,156.1,57.832,32.892,58.486,33.75
pupil,atoke,atoke1,,only,20,2856,242.592,75.129,48.402,76.563,49.0
pupil,atoke,atoke1,,only,30,3685,245.406,85.81,54.678,85.709,55.0
pupil,atoke,atoke1,,only,40,4034,257.676,89.231,57.561,90.547,57.494
pupil,atoke,atoke1,,only,45,1751,185.779,65.881,33.84,66.856,34.596
pupil,atoke,atoke1,,only,50,1699,170.748,60.382,35.826,60.237,35.667
pupil,atoke,atoke2,,only,0,1504,158.066,53.872,35.547,53.259,35.344
pupil,atoke,atoke2,,only,5,1994,176.075,61.235,41.461,62.496,42.339
pupil,atoke,atoke2,,only,10,2829,211.73,72.47,49.703,74.204,49.643
pupil,atoke,atoke2,,only,20,3801,248.343,80.848,59.86,80.604,61.037
pupil,atoke,atoke2,,only,30,4012,240.232,83.085,61.482,84.554,61.281
pupil,atoke,atoke2,,only,40,4697,270.654,89.544,66.787,90.434,67.686
pupil,atoke,atoke2,,only,45,4974,299.259,90.761,69.777,91.214,71.144
pupil,atoke,atoke2,,only,50,4965,277.525,92.27,68.513,94.748,69.424
pupil,atoke,atoke3,27_09_23,only,0,1495,151.938,46.69,40.769,47.17,40.806
pupil,atoke,atoke3,27_09_23,only,5,5708,286.347,90.526,80.283,92.707,81.09
pupil,atoke,atoke3,27_09_23,only,10,6821,307.67,97.719,88.875,98.257,88.0
pupil,atoke,atoke3,27_09_23,only,20,7733,334.129,103.314,95.301,106.607,96.0
pupil,atoke,atoke3,27_09_23,only,30,7284,324.153,101.293,91.559,102.083,91.266
pupil,atoke,atoke3,27_09_23,only,40,4714,268.882,81.407,73.729,84.202,74.005
pupil,atoke,atoke3,27_09_23,only,45,6052,298.938,94.107,81.882,96.005,80.61
pupil,atoke,atoke3,27_09_23,only,50,6772,313.512,99.991,86.232,102.176,86.759
