group,id,side,time,major,minor,feret,minFeret,angle
atoke,atoke1,only,0,48.458,39.78,49.468,40.05,
atoke,atoke1,only,5,54.204,27.318,53.012,26.868,
atoke,atoke1,only,10,57.832,32.892,58.486,33.75,
atoke,atoke1,only,20,75.129,48.402,76.563,49.0,
atoke,atoke1,only,30,85.81,54.678,85.709,55.0,
atoke,atoke2,only,0,53.872,35.547,53.259,35.344,
atoke,atoke2,only,5,61.235,41.461,62.496,42.339,
atoke,atoke2,only,10,72.47,49.703,74.204,49.643,
atoke,atoke2,only,20,80.848,59.86,80.604,61.037,
atoke,atoke2,only,30,83.085,61.482,84.554,61.281,
atoke,atoke3,only,0,46.69,40.769,47.17,40.806,
atoke,atoke3,only,5,90.526,80.283,92.707,81.09,
atoke,atoke3,only,10,97.719,88.875,98.257,88.0,
atoke,atoke3,only,20,103.314,95.301,106.607,96.0,
atoke,atoke3,only,30,101.293,91.559,102.083,91.266,
female,female1,only,0,81.402,66.554,84.599,68.278,
female,female1,only,5,85.261,75.25,88.685,75.0,
female,female1,only,10,99.445,86.999,101.98,87.0,
female,female1,only,20,124.586,111.262,128.062,112.0,
female,female1,only,30,159.902,127.108,161.645,126.0,
female,female2,left,0,89.904,75.003,94.937,77.0,
female,female2,left,5,103.098,91.364,106.405,92.4,
female,female2,left,10,105.337,96.106,108.268,97.0,
female,female2,left,20,118.006,107.95,121.165,108.673,
female,female2,left,30,138.697,119.835,142.127,121.411,
female,female2,right,0,79.233,48.016,80.777,50.0,
female,female2,right,5,88.687,57.613,91.788,58.0,
female,female2,right,10,110.391,74.405,112.805,74.0,
female,female2,right,20,138.234,103.52,140.089,105.0,
female,female2,right,30,150.827,117.661,154.042,122.358,
female,female3,left,0,49.141,38.502,50.885,38.982,
female,female3,left,5,54.582,42.292,55.606,43.115,
female,female3,left,10,63.014,45.342,64.827,45.385,
female,female3,left,20,68.883,59.481,70.847,59.0,
female,female3,left,30,69.9,59.636,73.246,59.5,
female,female3,right,0,64.228,47.379,66.568,48.477,
female,female3,right,5,63.903,54.394,64.475,54.365,
female,female3,right,10,72.827,58.883,73.677,58.344,
female,female3,right,20,88.344,56.035,89.889,59.029,
female,female3,right,30,100.386,61.641,102.078,64.345,
male,male1,only,0,31.756,21.812,32.653,22.0,
male,male1,only,5,28.906,26.913,29.0,27.0,
male,male1,only,10,34.987,34.136,35.0,34.0,
male,male1,only,20,56.465,53.374,58.822,53.0,
male,male1,only,30,77.318,69.51,80.994,71.0,
male,male2,only,0,134.637,83.201,136.303,84.149,
male,male2,only,5,148.914,90.837,151.501,92.798,
male,male2,only,10,168.774,109.97,174.977,113.991,
male,male2,only,20,185.752,140.984,193.08,146.155,
male,male2,only,30,196.411,149.111,204.843,150.542,
male,male3,only,0,46.69,40.769,47.17,40.806,
male,male3,only,5,50.455,40.906,51.865,40.0,
male,male3,only,10,43.085,35.758,45.591,37.0,
male,male3,only,20,62.672,52.679,62.936,51.0,
male,male3,only,30,62.672,52.679,62.936,51.0,
male,cph_male,Anterior,0,9.297,4.656,9.224,4.943,149.468
male,cph_male,Anterior,10,20.689,11.939,20.577,11.909,144.316
male,cph_male,Anterior,20,21.659,13.756,21.662,13.738,161.589
male,cph_male,Anterior,30,20.965,14.819,20.965,14.703,146.44
atoke,cph_atoke,Anterior,0,16.329,10.838,16.468,10.741,56.712
atoke,cph_atoke,Anterior,10,20.907,12.302,21.028,12.37,51.462
atoke,cph_atoke,Anterior,20,24.671,15.121,24.568,15.091,58.909
atoke,cph_atoke,Anterior,30,30.685,22.199,30.767,22.149,42.467
atoke,cph_atoke,Posterior,0,13.406,7.978,13.633,7.85,161.837
atoke,cph_atoke,Posterior,10,16.872,11.018,16.722,11.21,166.968
atoke,cph_atoke,Posterior,20,18.104,13.855,18.105,13.963,168.338
atoke,cph_atoke,Posterior,30,23.887,16.311,23.806,16.385,173.144
